,title,row2,row3,job_description,skills,row6,link
0,Sr. Data Analytics Manager,Naukri Premium - Employer Services,"7-12 Yrs
20-30 Lacs PA
Gurugram, Haryana, Bengaluru, Mumbai (All Areas)",Role & responsibilities Responsibilities:- - Lead and manage a team of data analysts f...,"['Tableau', 'Data Analytics', 'SQL', 'Team Handling', 'Product Analytics', 'Handling', 'Management', 'Team']","22 Days Ago
Save",https://www.naukri.com/job-listings-sr-data-analytics-manager-naukri-employer-services-gurugram-haryana-bengaluru-mumbai-all-areas-7-to-12-years-030324002328
1,Data Scientist,Naukri Premium - Employer Services,"7-12 Yrs
Not disclosed
Hybrid - Bengaluru",Candidates with additional experience in natural language processing and other approach...,"['Data Scientist', 'Statistical Modeling', 'statistical analysis', 'Data Science', 'R', 'ML Modeling', 'data mining', 'Cloud']","19 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-naukri-employer-services-bengaluru-7-to-12-years-060324007750
2,LoanIQ - Business Analyst,"Infosys
3.8
32296 Reviews","7-10 Yrs
Not disclosed
Bengaluru",Bachelors degree or foreign equivalent required from an accredited institutionBachelor ...,"['LoanIQ', 'functional architecture', 'chartered accountant', 'business management', 'it transformation', 'business analysis', 'accounting', 'commercial lending']","5 Days Ago
Save",https://www.naukri.com/job-listings-loaniq-business-analyst-infosys-limited-bengaluru-7-to-10-years-200324906055
3,Business Analyst - Calypso/Murex,"Infosys
3.8
32296 Reviews","5-7 Yrs
Not disclosed
Pune",Bachelor of Engineering . Service Line Good knowledge on software configuration managem...,"['Calypso', 'Openlink Endure', 'Capital Markets', 'SIMCORP', 'TLM', 'Avaloq', 'Eagle Pace', 'Murex']","6 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-calypso-murex-infosys-limited-pune-5-to-7-years-190324910343
4,Business Analyst - Wealth Management,"Infosys
3.8
32296 Reviews","2-7 Yrs
Not disclosed
Pune","Bachelor of Engineering, Bachelor Of Technology (Integrated), Bachelor Of Business Adm....","['Wealth Management', 'Openlink Endure', 'Capital Markets', 'Financial Services', 'Summit', 'Murex', 'Gloss', 'SIMCORP']","7 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-wealth-management-infosys-limited-pune-2-to-7-years-180324904704
5,Data Scientist,"Infosys
3.8
32296 Reviews","2-5 Yrs
Not disclosed
Bengaluru","Bachelor of Engineering . Service Line experience in optimization (linear, mixed integ...","['Data Science', 'analytics', 'R', 'SAS', 'Data Scientist', 'statistical modeling', 'Campaign Management', 'data warehouse architecture']","7 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-infosys-limited-bengaluru-2-to-5-years-180324905073
6,Vision Plus Developer/ Analyst,"Infosys
3.8
32296 Reviews","2-5 Yrs
Not disclosed
Hyderabad","Master Of Business Management, Master Of Business Adm., Master Of Technology, Chartered...","['Vision Plus', 'chartered accountant', 'business management', 'accounting', 'financial services', 'digital transformation', 'finance', 'technology solutions']","7 Days Ago
Save",https://www.naukri.com/job-listings-vision-plus-developer-analyst-infosys-limited-hyderabad-2-to-5-years-180324906093
7,Business Analyst - Banking,"Infosys
3.8
32296 Reviews","2-3 Yrs
Not disclosed
Pune","Bachelor of Engineering, Bachelor Of Technology (Integrated), Bachelor Of Business Adm....","['business analysis', 'functional designs', 'Financial Services Domain', 'Business Analyst', 'Banking', 'technology solutions', 'Finance', 'DNS']","12 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-banking-infosys-limited-pune-2-to-3-years-130324909403
8,Machine Learning Engineer,"Infosys
3.8
32296 Reviews","4-5 Yrs
Not disclosed
Bengaluru",". Additional Responsibilities: . Masters degree in Computer Science Engineering, with R...","['Machine Learning', 'client relationship management', 'python', 'r', 'data analysis', 'data analytics', 'data science', 'business development']","15 Days Ago
Save",https://www.naukri.com/job-listings-machine-learning-engineer-infosys-limited-bengaluru-4-to-5-years-100324902310
9,Machine Learning Intern,"Liberin Technologies
4.5
20 Reviews","6 months duration
Unpaid
Noida",,[],"Internship
Starts in 1-3 months
Save",https://www.naukri.com/job-listings-machine-learning-intern-liberin-technologies-noida-0-to-2-years-300823500442
10,Data Scientist -Image Analytics - (Multiple locations)5+ Years,Crescendo Global Leadership Hiring India Private L Imited,"5-10 Yrs
Not disclosed
Hybrid - Noida, Uttar Pradesh, Pune, Maharashtra, Gurugram, Haryana",Our esteemed client is seeking an exceptionally skilled Data Scientist proficient in im...,"['Python', 'OCR', 'Pytorch', 'computer vision techniques', 'Tensorflow.', 'image analytics', 'openCv', 'Analytics']","2 Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-image-analytics-multiple-locations-5-years-crescendo-global-leadership-hiring-india-private-l-imited-noida-uttar-pradesh-pune-maharashtra-gurugram-haryana-5-to-10-years-230224008169
11,Business Analyst,"Comviva Technology
3.4
588 Reviews","4-6 Yrs
Not disclosed
Hybrid - Bangalore Rural, Karnataka, Gurugram, Haryana",Company Profile:We are a leading global mobility solutions provider catering to the Bu...,"['Business Analyst', 'Brd', 'Requirement Gathering', 'FRD', 'Requirements', 'Business analysis']","3 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-comviva-technology-bangalore-rural-karnataka-gurugram-haryana-4-to-6-years-220324007925
12,Business Analyst,"Ebizon Net Info
3.5
57 Reviews","2-7 Yrs
Not disclosed
Noida",Requirements . 2+ Years of relevant experience as a Business AnalystCandidates with rel...,"['Business Analyst', 'Consulting', 'Video conferencing', 'Project planning', 'Customer service', 'Budgeting', 'microsoft', 'Forecasting']","11 Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-ebizon-net-info-pvt-ltd-noida-2-to-7-years-140324502752
13,Business Analyst,"Optimum Info
4.6
2 Reviews","4-6 Yrs
Not disclosed
Noida",The Business Analyst will acquire subject matter expertise on Optimum s products and ...,"['Field operations', 'Financial statements', 'Business Analyst', 'Financial analysis', 'MS Office tools', 'Customer service', 'Subject matter expertise', 'Automotive']","30+ Days Ago
Save",https://www.naukri.com/job-listings-business-analyst-optimum-info-noida-4-to-6-years-221222501280
14,Data Engineer - Team Lead (Finance Analytics ),"Rockwell Automation
4.1
455 Reviews","4-8 Yrs
Not disclosed
Noida, Kolkata, Hyderabad, Pune, Bengaluru","Bachelor s Degree . in computer science . ., . software engineering, . management infor...","['Data analysis', 'Automation', 'Data management', 'PAAS', 'sap data services', 'Data structures', 'microsoft', 'Open source']","30+ Days Ago
Save",https://www.naukri.com/job-listings-data-engineer-team-lead-finance-analytics-rockwell-automation-noida-kolkata-hyderabad-pune-bengaluru-4-to-8-years-140224501214
15,Sr Data Engineer,"Honeywell
3.8
1391 Reviews","4-6 Yrs
Not disclosed
Greater Noida, Bengaluru",". YOU MUST HAVE . Five or more years of relevant experience in data engineering, ETL de...","['Analytical', 'Machine learning', 'Schema', 'Database administration', 'Data quality', 'Analytics', 'SQL', 'Python']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-data-engineer-honeywell-greater-noida-bengaluru-4-to-6-years-291223500495
16,Sr Data Science Supervisor,"Honeywell
3.8
1391 Reviews","3-6 Yrs
Not disclosed
Greater Noida, Bengaluru",Some technologies you may apply to generate actionable insights include statistical ana...,"['Business process', 'Operations research', 'Version control', 'Simulation', 'data science', 'Artificial Intelligence', 'Machine learning', 'Analytics']","18 Days Ago
Save",https://www.naukri.com/job-listings-sr-data-science-supervisor-honeywell-greater-noida-bengaluru-3-to-6-years-070324500592
17,Senior Adv Engineer -AI/ML,"Honeywell
3.8
1391 Reviews","2-6 Yrs
Not disclosed
Greater Noida, Bengaluru",Experience in E2E system design and deployment of Data Pipeline and ML analytics. Senio...,"['continuous integration', 'Formulation', 'Machine learning', 'Data processing', 'System design', 'big data', 'Analytics', 'Monitoring']","30+ Days Ago
Save",https://www.naukri.com/job-listings-senior-adv-engineer-ai-ml-honeywell-greater-noida-bengaluru-2-to-6-years-060224500694
18,Sr Lead Business Analyst,"Birlasoft
3.8
2341 Reviews","13-20 Yrs
Not disclosed
Noida",Bachelor of Science degree preferably in a technical field (will consider other degrees...,"['Product management', 'Data migration', 'Business Analyst', 'Database design', 'Analytical', 'Lead Business Analyst', 'Healthcare', 'Data structures']","27 Days Ago
Save",https://www.naukri.com/job-listings-sr-lead-business-analyst-birlasoft-india-limited-noida-13-to-20-years-270224501463
19,Project Lead/Engineering Manager-Data Science,"Bold Technology Systems
3.4
163 Reviews","9-14 Yrs
Not disclosed
Hybrid - Noida, Uttar Pradesh",Role :BOLD is seeking for Data Science Architect for strategic ML development. You wil...,"['machine Learning', 'NLP', 'Python', 'Transformers', 'pyTorch', 'LLM', 'Scikit-Learn', 'SQL']","5 Days Ago
Save",https://www.naukri.com/job-listings-project-lead-engineering-manager-data-science-bold-technology-systems-noida-uttar-pradesh-9-to-14-years-030124010022
20,Sr. Business Analyst,"OSP LABS PVT LTD.
4.4
62 Reviews","5-8 Yrs
Not disclosed
Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Comfortable working in US shiftsUnderstand the client requirement and provide the sugge...,"['System architecture', 'Business research', 'Service industry', 'Manager Technology', 'Senior Business Analyst', 'UPS', 'US healthcare', 'Open source']","30+ Days Ago
Save",https://www.naukri.com/job-listings-sr-business-analyst-osp-labs-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-220923500363
21,Lead Business Analyst,"Qualtech Edge
3.7
123 Reviews","5-8 Yrs
Not disclosed
Noida","Client interactions, requirement gathering and management . Construct workflow charts a...","['Interpersonal skills', 'Publishing', 'Business analysis', 'Lead System Analyst', 'Lead Business Analyst', 'Information technology', 'Operations', 'Analytics']","30+ Days Ago
Save",https://www.naukri.com/job-listings-lead-business-analyst-qualtech-consultants-noida-5-to-8-years-271023501188
22,DS - NLP Expert,"Genpact
3.9
26580 Reviews","6-11 Yrs
Not disclosed
Hyderabad, Telangana, Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",ob Description :Inviting applications for the role of a Text Mining/NLP - Data Science...,"['Natural Language Processing', 'Nltk', 'Rnn', 'Lstm', 'LLMs', 'Artificial Intelligence', 'Text Mining', 'bert']","13 Days Ago
Save",https://www.naukri.com/job-listings-ds-nlp-expert-genpact-hyderabad-telangana-gurugram-haryana-bangalore-bengaluru-karnataka-6-to-11-years-211123007149
23,Generative AI Data Scientist,"Genpact
3.9
26580 Reviews","8-13 Yrs
Not disclosed
Hyderabad, Gurugram, Bengaluru","Expert level of understanding of NLP, NLU and Machine learning / Deep learning methods....","['Generative AI', 'LLM', 'Predictive Modeling', 'Natural Language Processing', 'Computer Vision', 'Machine Learning', 'Machine', 'Data']","13 Days Ago
Save",https://www.naukri.com/job-listings-generative-ai-data-scientist-genpact-hyderabad-gurugram-bengaluru-8-to-13-years-201123007411
24,Manager - Data Science,"Essencemediacom
1.5
7 Reviews","4-6 Yrs
Not disclosed
Gurugram, Bengaluru","In three months, you would have: . Been fully immersed in the team s . modelling . appr...","['Account Lead', 'nexus', 'Excel', 'data science', 'Analytical', 'Director', 'Advanced Excel', 'Econometrics']","4 Days Ago
Save",https://www.naukri.com/job-listings-manager-data-science-essencemediacom-canada-gurugram-bengaluru-4-to-6-years-210324500702
25,Manager - Data Science,Mplatform,"4-9 Yrs
Not disclosed
Gurugram, Bengaluru","Ensure our . modelling . processes . are . consistent across client . projects . ., wit...","['Account Lead', 'nexus', 'Excel', 'data science', 'Analytical', 'Director', 'Advanced Excel', 'Econometrics']","4 Days Ago
Save",https://www.naukri.com/job-listings-manager-data-science-mplatform-gurugram-bengaluru-4-to-9-years-210324500482
